ID,Title,Type,Module,Wave/Epic,Priority,Status,Created,Last Updated,Finished,Owner,Notes
ALT-001,Lock tech stack (Supabase + React/Vite + repaired RN),Task,Deploy/Infra,Foundation,P0,Done,2026-06-11,2026-06-21,2026-06-11,Ankit,"Owner-approved 2026-06-11. No Java, no MySQL, no droplet."
ALT-002,Archive vendor code to old-code/ and clean repo,Chore,Deploy/Infra,Foundation,P0,Done,2026-06-11,2026-06-21,2026-06-11,Claude,Clean commit e10f4c1. Secrets to .credentials/ (gitignored).
ALT-003,Create GitHub repo with clean history (AltLeads-CRM),Chore,Deploy/Infra,Deploy,P0,Done,2026-06-11,2026-06-21,2026-06-16,Claude,New clean repo; old-code/figma/secrets excluded. Git auto-deploy to Hostinger wired.
ALT-004,Verify & store Supabase / Netlify / DO access tokens,Task,Deploy/Infra,Foundation,P0,Done,2026-06-11,2026-06-21,2026-06-11,Ankit,Tokens in .credentials/ (gitignored). DO API token verified.
ALT-005,"Create Supabase project (amplior-crm, Mumbai)",Task,Data,Migration,P0,Done,2026-06-11,2026-06-21,2026-06-12,Claude,IDs/keys in .credentials/. Region ap-south-1.
ALT-006,Recreate full 65-table schema in Supabase,Task,Data,Migration,P0,Done,2026-06-11,2026-06-21,2026-06-12,Sub-agent,Vendor added 21 audit tables post-Jan; drift captured in schema-drift.sql.
ALT-007,Fork DO MySQL cluster and copy ~108k rows to Supabase,Task,Data,Migration,P0,Done,2026-06-11,2026-06-21,2026-06-12,Sub-agent,65/65 tables row-count match. Production never touched. Migration report in new-code/migration/.
ALT-008,Apply foreign keys (60/64; 4 skipped for orphan rows),Task,Data,Migration,P1,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,fk-skipped.txt lists 4 vendor data-quality issues; nothing deleted.
ALT-009,Reset all Postgres identity sequences after explicit-PK migration,Bug,Data,Migration,P0,Done,2026-06-14,2026-06-21,2026-06-14,Claude,CRITICAL: sequences were at 1 causing PK collisions on all inserts. Fixed via setval DO-block on all 65 tables.
ALT-010,"Remove dead placeholder code (mockLeads.ts, PlaceholderPage.tsx)",Chore,Data,Foundation,P2,Done,2026-06-12,2026-06-21,2026-06-21,Claude,Verified 2026-06-21: mockLeads.ts + PlaceholderPage.tsx no longer exist (removed in an earlier cleanup). Only the actively-used SalesPlaceholderPage remains.
ALT-011,Supabase Auth login (email + password),Feature,Security,Auth,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,Verified: mohit@amplior.com ? role ADMIN. profiles table links auth.users ? user_master + role.
ALT-012,Auto-onboard trigger (on_auth_user_created) matching by email,Feature,Security,Auth,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,Trigger auto-builds profiles row with role from user_role ? role_master.
ALT-013,Route protection (block pages when logged out / wrong role),Feature,Security,Auth,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,"Admin nav gated to ADMIN role. 6 roles in DB: ADMIN, TEAM_LEAD, SALES_HEAD, SALES_PERSON, AGENT, QC."
ALT-014,Decide: do not migrate old plaintext passwords,Task,Security,Auth,P0,Done,2026-06-12,2026-06-21,2026-06-12,Ankit,At go-live each user gets a one-time set-your-password email.
ALT-015,"RLS baseline — enable RLS on all 70 tables, block anon, block self-promote",Security,Security,Security audit,P0,Done,2026-06-14,2026-06-21,2026-06-14,Sub-agent,70/70 tables; authenticated full access on 68; profiles SELECT-only; anon denied; adversarially verified. SQL: rls-policies.sql.
ALT-016,Hide legacy plaintext password column from API,Security,Security,Security audit,P0,Done,2026-06-16,2026-06-21,2026-06-16,Claude,REVOKE SELECT/INSERT/UPDATE on user_master + user_master_audit for anon+authenticated. Script: hide-password-column.js.
ALT-017,Fine-grained per-role RLS (agent sees own leads via created_by),Security,Security,Security audit,P0,Done,2026-06-14,2026-06-21,2026-06-17,Sub-agent,Access RLS v1: lead row-isolation + write-locks + owner/manager/admin logging rules. v1b: contact masking view + column revoke + find_contact_dup RPC. v2: project_visibility_setting dials + Project Access admin UI. Proven with throwaway logins.
ALT-018,"Full IDOR/RLS security audit (sub-agent pass, all modules)",Security,Security,Security audit,P0,Done,2026-06-14,2026-06-21,2026-06-17,Sub-agent,"Multi-agent security audit -> docs/SECURITY-AUDIT.md. 29 findings, 14 High/Critical. All critical issues addressed in hardening pass same day."
ALT-019,Fix xlsx CVE (swap xlsx@0.18.5 ? SheetJS 0.20.3),Security,Security,Security audit,P1,Done,2026-06-14,2026-06-21,2026-06-14,Claude,"CDN tarball, same import/API, drop-in. Build passes. 313kB gzip."
ALT-020,Set one-time password-set emails to all users at go-live,Task,Security,Security audit,P0,Planned,2026-06-12,2026-06-21,,Claude,Batch-send script needed. Email service is live.
ALT-021,Prune DO DB firewall IPs (~14 old vendor devs) at cutover,Task,Security,Security audit,P1,Planned,2026-06-11,2026-06-21,,Ankit,"Prune at cutover, not before — one may be owner office IP."
ALT-022,Refine manager access to true team-scope RLS,Security,Security,Security audit,P2,Planned,2026-06-14,2026-06-21,,Sub-agent,Start with managers-see-all; tighten to team-scope after launch.
ALT-023,"Leads list page on real data (605 leads, pagination)",Feature,Leads,Web core,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,Pagination added after first owner review. PostgREST 1000-row cap handled with .range().
ALT-024,Fix data accuracy: joins used wrong columns (agent_id/company_id vs created_by/client_assoc_id),Bug,Leads,Web core,P0,Done,2026-06-12,2026-06-21,2026-06-12,Sub-agent,"Root cause: company = client_association.client_name via client_assoc_id; owner = created_by. Now 18 owners, 0 null companies."
